"Restaurant_Name","Restaurant_URL","Restaurant_Price","Restaurant_Address"
"Thai Chef Thais Restaurant 泰廚泰國菜館","https://www.openrice.com/en/hongkong/r-thai-chef-thais-restaurant-mong-kok-thai-curry-r183212","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Aroy Khao Man Gai 阿來泰式地道風味","https://www.openrice.com/en/hongkong/r-aroy-khao-man-gai-mong-kok-thai-r472513","$51-100","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Grill ขุนทอง","https://www.openrice.com/en/hongkong/r-grill-%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87-central-thai-meatless-menu-r459298","Below $50","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Sun Thai Restaurant 新泰東南亞餐廳","https://www.openrice.com/en/hongkong/r-sun-thai-restaurant-wan-chai-thai-curry-r189148","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Cambo ขุนทอง","https://www.openrice.com/en/hongkong/r-cambo-%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87-tsim-sha-tsui-thai-r47405","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Thai on 5 Seafood Grill and Bar 泰燒遙","https://www.openrice.com/en/hongkong/r-thai-on-5-seafood-grill-and-bar-tsim-sha-tsui-thai-seafood-r181025","$201-400","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Multi Taste 億饍","https://www.openrice.com/en/hongkong/r-multi-taste-mong-kok-thai-soup-r522432","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Mint Thai House 薄荷葉泰國菜","https://www.openrice.com/en/hongkong/r-mint-thai-house-yuen-long-thai-seafood-r20381","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Thai Gather Restaurant & Bar 泰聚","https://www.openrice.com/en/hongkong/r-thai-gather-restaurant-bar-prince-edward-thai-curry-r498632","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"1988","https://www.openrice.com/en/hongkong/r-1988-kwun-tong-thai-dessert-r533848","$51-100","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Sawadee Thai 泰屋","https://www.openrice.com/en/hongkong/r-sawadee-thai-mong-kok-thai-seafood-r505420","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Sun Thai Restaurant 新泰東南亞餐廳","https://www.openrice.com/en/hongkong/r-sun-thai-restaurant-tsim-sha-tsui-thai-curry-r505863","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Thai Master Restaurant & Bar 泰斗","https://www.openrice.com/en/hongkong/r-thai-master-restaurant-bar-tsim-sha-tsui-thai-r435255","$201-400","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Mee...lemongrass","https://www.openrice.com/en/hongkong/r-mee-lemongrass-causeway-bay-malaysian-salad-r532850","$51-100","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Sun Thai Restaurant 新泰東南亞餐廳","https://www.openrice.com/en/hongkong/r-sun-thai-restaurant-wan-chai-thai-curry-r481589","$101-200","Shop 3, G/F, 20 Luard Road, Wan Chai"
"Soi 18 Thai Cuisine 18巷泰國餐廳","https://www.openrice.com/en/hongkong/r-soi-18-thai-cuisine-causeway-bay-thai-curry-r176221","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Add Some Thai Restaurant","https://www.openrice.com/en/hongkong/r-add-some-thai-restaurant-kwun-tong-thai-r531808","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Mini Bangkok Seafood and Grill 小曼谷海鮮燒烤屋","https://www.openrice.com/en/hongkong/r-mini-bangkok-seafood-and-grill-kowloon-city-thai-seafood-r125202","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Glasshouse","https://www.openrice.com/en/hongkong/r-glasshouse-central-western-r166040","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Siam 28","https://www.openrice.com/en/hongkong/r-siam-28-causeway-bay-thai-curry-r464664","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Blue Elephant Thai Brasserie 藍象泰國餐廳","https://www.openrice.com/en/hongkong/r-blue-elephant-thai-brasserie-tsim-sha-tsui-thai-curry-r522756","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Orange Elephant Thai Restaurant","https://www.openrice.com/en/hongkong/r-orange-elephant-thai-restaurant-kowloon-city-thai-r472450","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Samsen 泰麵","https://www.openrice.com/en/hongkong/r-samsen-%E6%B3%B0%E9%BA%B5-wan-chai-thai-noodles-rice-noodles-r501357","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Thai Chang House 泰象館","https://www.openrice.com/en/hongkong/r-thai-chang-house-kowloon-city-thai-curry-r190106","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Seafood Thai 泰海鮮","https://www.openrice.com/en/hongkong/r-seafood-thai-tuen-mun-thai-seafood-r87941","$201-400","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"AloyMakMak 亞萊嘜嘜","https://www.openrice.com/en/hongkong/r-aloymakmak-yuen-long-thai-r432779","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Mango Tree","https://www.openrice.com/en/hongkong/r-mango-tree-tsim-sha-tsui-thai-meatless-menu-r120980","$201-400","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Sawali Club 金蘭花泰國餐廳","https://www.openrice.com/en/hongkong/r-sawali-club-causeway-bay-thai-r513476","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Thai Bin Lo 泰邊爐","https://www.openrice.com/en/hongkong/r-thai-bin-lo-mong-kok-thai-hot-pot-r552781","$101-200","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Wooden boat 木船","https://www.openrice.com/en/hongkong/r-wooden-boat-tai-po-hong-kong-style-r541446","$51-100","G/F, Greenery Plaza Block A, 20 Tai Wo Road, Tai Po"
"Thai Ten 泰廳","https://www.openrice.com/en/hongkong/r-thai-ten-yuen-long-thai-r531174","$51-100","8-10, Nam Kok Road, Kowloon City"
"Cambo Thai Restaurant 金寶泰國菜館","https://www.openrice.com/en/hongkong/r-cambo-thai-restaurant-kowloon-city-thai-soup-r19833","$101-200","8-10, Nam Kok Road, Kowloon City"
"So Thai So Good 泰贊- 創意泰餐廳","https://www.openrice.com/en/hongkong/r-so-thai-so-good-tsim-sha-tsui-thai-r185329","$51-100","8-10, Nam Kok Road, Kowloon City"
"Thai Dao 泰道","https://www.openrice.com/en/hongkong/r-thai-dao-sai-kung-thai-seafood-r526679","$201-400","8-10, Nam Kok Road, Kowloon City"
"SPICE Restaurant & Bar","https://www.openrice.com/en/hongkong/r-spice-restaurant-bar-tsim-sha-tsui-international-fine-dining-r18344","$101-200","8-10, Nam Kok Road, Kowloon City"
"Lemongrass","https://www.openrice.com/en/hongkong/r-lemongrass-tai-kok-tsui-thai-r187705","$101-200","8-10, Nam Kok Road, Kowloon City"
"Aroy Khao Man Gai 阿來泰式地道風味","https://www.openrice.com/en/hongkong/r-aroy-khao-man-gai-cheung-sha-wan-thai-r545873","$51-100","8-10, Nam Kok Road, Kowloon City"
"Tom Yum Tom Yum 冬蔭公公","https://www.openrice.com/en/hongkong/r-tom-yum-tom-yum-sha-tin-thai-curry-r51039","$51-100","8-10, Nam Kok Road, Kowloon City"
"Bonnie's Thai Restaurant 真心泰國菜館","https://www.openrice.com/en/hongkong/r-bonnies-thai-restaurant-mong-kok-thai-curry-r17294","$101-200","8-10, Nam Kok Road, Kowloon City"
"Clipper Lounge 快船廊","https://www.openrice.com/en/hongkong/r-clipper-lounge-central-western-buffet-r494","$401-800","8-10, Nam Kok Road, Kowloon City"
"Greyhound Café","https://www.openrice.com/en/hongkong/r-greyhound-cafe-mong-kok-thai-juice-r149459","$201-400","8-10, Nam Kok Road, Kowloon City"
"Cafe Siam","https://www.openrice.com/en/hongkong/r-cafe-siam-central-thai-soup-r119972","$101-200","8-10, Nam Kok Road, Kowloon City"
"Ngai Jei Thai Food Restaurant 倪姐泰國美食","https://www.openrice.com/en/hongkong/r-ngai-jei-thai-food-restaurant-kowloon-city-thai-curry-r523560","$51-100","8-10, Nam Kok Road, Kowloon City"
"Mini Bangkok 小曼谷泰國美食","https://www.openrice.com/en/hongkong/r-mini-bangkok-tuen-mun-thai-curry-r14787","$51-100","8-10, Nam Kok Road, Kowloon City"
"Mini Bangkok Thai Food 小曼谷泰國美食","https://www.openrice.com/en/hongkong/r-mini-bangkok-thai-food-kowloon-city-thai-r10154","$101-200","8-10, Nam Kok Road, Kowloon City"
"Cafe Deco Pizzeria","https://www.openrice.com/en/hongkong/r-cafe-deco-pizzeria-tsim-sha-tsui-international-meatless-menu-r151680","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Apinara","https://www.openrice.com/en/hongkong/r-apinara-admiralty-thai-curry-r509086","$201-400","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Thai-In 泰灜","https://www.openrice.com/en/hongkong/r-thai-in-jordan-thai-r534396","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Greyhound Café","https://www.openrice.com/en/hongkong/r-greyhound-cafe-central-thai-meatless-menu-r67347","$201-400","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Mee...lemongrass","https://www.openrice.com/en/hongkong/r-mee-lemongrass-tseung-kwan-o-malaysian-salad-r576869","$51-100","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Aroy Southeast Asia 阿來東南亞風味","https://www.openrice.com/en/hongkong/r-aroy-southeast-asia-yau-ma-tei-singaporean-r579572","$51-100","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Mango Tree Café","https://www.openrice.com/en/hongkong/r-mango-tree-cafe-tai-koo-thai-r514644","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Bonnie Restaurant 真心泰國菜館","https://www.openrice.com/en/hongkong/r-bonnie-restaurant-mong-kok-thai-r6689","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Golden Thai 金坊泰國美食","https://www.openrice.com/en/hongkong/r-golden-thai-tsuen-wan-thai-r19494","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"King & I-Thai and Vietnamese 御泰坊-泰越菜","https://www.openrice.com/en/hongkong/r-king-i-thai-and-vietnamese-kwun-tong-thai-meatless-menu-r13949","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Sun Thai Restaurant 新泰東南亞餐廳","https://www.openrice.com/en/hongkong/r-sun-thai-restaurant-tsim-sha-tsui-thai-curry-r578252","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Jaunty Restaurant 象泰","https://www.openrice.com/en/hongkong/r-jaunty-restaurant-tuen-mun-thai-r521686","$51-100","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Sisombath Restaurant 施心畢老撾餐廳","https://www.openrice.com/en/hongkong/r-sisombath-restaurant-central-thai-r549806","$51-100","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Orange Elephant Thai Restaurant","https://www.openrice.com/en/hongkong/r-orange-elephant-thai-restaurant-tai-kok-tsui-malaysian-r535121","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Mango Tree Café","https://www.openrice.com/en/hongkong/r-mango-tree-cafe-yuen-long-thai-r536858","$101-200","Shop 1035,1/F, Yoho Mall I, 9 Long Yat Road, Yuen Long"
"Thai Basil","https://www.openrice.com/en/hongkong/r-thai-basil-admiralty-thai-r6071","$101-200","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Mee...lemongrass","https://www.openrice.com/en/hongkong/r-mee-lemongrass-tsing-yi-malaysian-salad-r556355","$51-100","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Namo Avant Thai Restaurant","https://www.openrice.com/en/hongkong/r-namo-avant-thai-restaurant-tsim-sha-tsui-thai-r160368","$201-400","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Greyhound Café","https://www.openrice.com/en/hongkong/r-greyhound-cafe-kowloon-tong-thai-meatless-menu-r120812","$201-400","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Mr.Thai 少爺泰","https://www.openrice.com/en/hongkong/r-mr-thai-sha-tin-thai-r576918","$101-200","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Greyhound Café","https://www.openrice.com/en/hongkong/r-greyhound-cafe-tsim-sha-tsui-thai-meatless-menu-r83909","$201-400","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Erawan Thai Premium","https://www.openrice.com/en/hongkong/r-erawan-thai-premium-tsim-sha-tsui-thai-curry-r479290","$101-200","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Thai Ki Lung 泰基隆","https://www.openrice.com/en/hongkong/r-thai-ki-lung-sham-shui-po-thai-curry-r558195","$101-200","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Rayong Thai Noodle 羅勇泰國粉麵","https://www.openrice.com/en/hongkong/r-rayong-thai-noodle-tsim-sha-tsui-thai-noodles-rice-noodles-r561660","Below $50","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Bangkok Station 曼谷車站","https://www.openrice.com/en/hongkong/r-bangkok-station-ngau-tau-kok-thai-r510002","$51-100","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Boat Noodle 泰麵膳","https://www.openrice.com/en/hongkong/r-boat-noodle-tsim-sha-tsui-thai-noodles-rice-noodles-r533151","$51-100","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"KHAP & KA 泰廚房子","https://www.openrice.com/en/hongkong/r-khap-ka-kowloon-bay-thai-r541975","$101-200","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Thai Simple Kitchen 泰簡單","https://www.openrice.com/en/hongkong/r-thai-simple-kitchen-causeway-bay-thai-r10381","$101-200","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Golden Orchid Thai Restaurant 金蘭花泰國菜館","https://www.openrice.com/en/hongkong/r-golden-orchid-thai-restaurant-kowloon-city-thai-r1562","$101-200","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Thainan Chicken ขุนทอง","https://www.openrice.com/en/hongkong/r-thainan-chicken-%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87-central-international-salad-r514637","$51-100","Shop B, 1 Wo On Lane, Lan Kwai Fong, Central"
"Imsook Thai Kitchen 焰淑泰國餐廳","https://www.openrice.com/en/hongkong/r-imsook-thai-kitchen-causeway-bay-thai-r571308","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Chef Thai 亞泰廚房","https://www.openrice.com/en/hongkong/r-chef-thai-kowloon-city-thai-r464909","$51-100","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Chung Shing Thai Restaurant 忠誠茶座泰國菜","https://www.openrice.com/en/hongkong/r-chung-shing-thai-restaurant-tai-po-thai-r470","$51-100","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Lemon Grass Thai & BBQ","https://www.openrice.com/en/hongkong/r-lemon-grass-thai-bbq-kwun-tong-thai-r465914","$51-100","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Cheong Fat Thai Food 昌發泰國粉麵屋","https://www.openrice.com/en/hongkong/r-cheong-fat-thai-food-kowloon-city-thai-r15677","$51-100","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"New Bangkok Restaurant 新曼谷泰國菜館","https://www.openrice.com/en/hongkong/r-new-bangkok-restaurant-tsim-sha-tsui-thai-r508776","$51-100","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Thai Fat Thai Restaurant 泰發泰國餐廳","https://www.openrice.com/en/hongkong/r-thai-fat-thai-restaurant-kowloon-city-thai-r9845","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Mini Bangkok Thai Food 小曼谷泰國美食","https://www.openrice.com/en/hongkong/r-mini-bangkok-thai-food-yuen-long-thai-r545584","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Amazing","https://www.openrice.com/en/hongkong/r-amazing-yau-ma-tei-thai-r187367","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"THAIHOSHIU 泰豪燒","https://www.openrice.com/en/hongkong/r-thaihoshiu-yuen-long-hong-kong-style-congee-r563369","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Aroi Thai 亞萊泰","https://www.openrice.com/en/hongkong/r-aroi-thai-kowloon-bay-thai-r502301","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Greyhound Café","https://www.openrice.com/en/hongkong/r-greyhound-cafe-sha-tin-thai-meatless-menu-r516469","$201-400","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Bali Restaurant 峇里餐廳","https://www.openrice.com/en/hongkong/r-bali-restaurant-jordan-indonesian-r500639","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"Golden Thai 金坊泰國美食","https://www.openrice.com/en/hongkong/r-golden-thai-tsuen-wan-thai-r174252","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
"V.THAi 泰越概念","https://www.openrice.com/en/hongkong/r-v-thai-causeway-bay-thai-curry-r542509","$101-200","3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay"
